# 위키낱말사전의 '분류:한국어 외래어' 중 영어단어만 추출
# https://ko.wiktionary.org/wiki/%EB%B6%84%EB%A5%98:%ED%95%9C%EA%B5%AD%EC%96%B4_%EC%99%B8%EB%9E%98%EC%96%B4
gadolinium	가돌리늄
guard	가드
guard rail	가드레일
cardigan	가디건
gasoline	가솔린
gas	가스
gas range	가스레인지
gas boiler	가스보일러
gossip	가십
gown	가운
guide	가이드
guideline	가이드라인
gallium	갈륨
gag	개그
gap	갭
gang	갱
girdle	거들
gauze	거즈
guerrilla	게릴라
guest	게스트
gay	게이
game	게임
goal	골
goldfinch	골드핀치
goal	골인
goalkeeper	골키퍼
golf	골프
gong	공
graph	그래프
gram	그램
grapefruit	그레이프프루트
group	그룹
glove	글러브
gear	기어
guitar	기타
gum	껌
night game	나이트게임
nightclub	나이트클럽
knife	나이프
nylon	나일론
Nazism	나치즘
nonsense	난센스
navigation	내비게이션
napkin	냅킨
nut	너트
neon	네온
namespace	네임스페이스
network	네트워크
necktie	넥타이
nobelium	노벨륨
knock	노크
notebook	노트
notebook	노트북
know-how	노하우
nocturne	녹턴
nonstop	논스톱
news	뉴스
nickel	니켈
nipper	니퍼
down	다운
download	다운로드
downtown	다운타운
diving	다이빙
diamond	다이아몬드
diary	다이어리
diet	다이어트
dial	다이얼
diode	다이오드
digest	다이제스트
documentary	다큐멘터리
doctor	닥터
dollar	달러
dancer	댄서
dam	댐
dubbing	더빙
dumping	덤핑
daisy	데이지
data	데이터
date	데이트
doughnut	도넛
doping	도핑
doctrine	독트린
durian	두리안
driver	드라이버
drum	드럼
disco	디스코
disk	디스크
disk jockey	디스크자키
dystopia	디스토피아
dysprosium	디스프로슘
design	디자인
DJ	디제이
digital	디지털
digital camera	디지털카메라
dill	딜
radon	라돈
radio	라디오
lavash	라바슈
lavender	라벤더
round	라운드
rival	라이벌
lighter	라이터
line	라인
lilac	라일락
Latin America	라틴아메리카
rafflesia	라플레시아
rapper	래퍼
rutherfordium	러더포듐
reggae	레게
rhenium	레늄
red card	레드카드
lemonade	레모네이드
lemon	레몬
wrestling	레슬링
leopard	레오파드
radio	레이더
lace	레이스
layout	레이아웃
rail	레일
lesbian	레즈비언
lens	렌즈
logarithm	로가리듬
roadrunner	로드러너
lawrencium	로렌슘
robot	로봇
rocket	로켓
rock	록
rollercoaster	롤러코스터
ruby	루비
rubidium	루비듐
ruthenium	루테늄
lutetium	루테튬
rheumatism	류머티즘
lute	류트
league	리그
lease	리스
list	리스트
litre	리터
lithium	리튬
litmus	리트머스
rehearsal	리허설
lymph	림프
lipstick	립스틱
link	링크
margarine	마가린
magnesite	마그네사이트
magnesium	마그네슘
magnetic	마그네틱
magma	마그마
mania	마니아
marathon	마라톤
marihuana	마리화나
massage	마사지
mascara	마스카라
mascot	마스코트
mask	마스크
master	마스터
masturbation	마스터베이션
mast	마스트
mouse	마우스
mound	마운드
minus	마이너스
mike	마이크
micro	마이크로
microgram	마이크로그램
microchip	마이크로칩
microcomputer	마이크로컴퓨터
microprocessor	마이크로프로세서
mind	마인드
mile	마일
margin	마진
marketing	마케팅
market	마켓
mark	마크
mart	마트
manganese	망가니즈
manicure	매니큐어
mammoth	매머드
mat	매트
mattress	매트리스
musket	머스켓
mustard	머스터드
menu	메뉴
medal	메달
medley	메들리
merit	메리트
memo	메모
message	메시지
make up	메이크업
melody	멜로디
member	멤버
monorail	모노레일
monitor	모니터
model	모델
motion	모션
mosque	모스크
mosaic	모자이크
motor	모터
motel	모텔
motto	모토
muezzin	무에진
musical	뮤지컬
minaret	미나레트
mini	미니
media	미디어
millimetre	미리미터
missile	미사일
Miss	미스
