# 직접 수기 입력
hanna	한나
kate	케이트
samsung	삼성
sony	소니
airbnb	에어비앤비
emart	이마트
mangoplate	망고플레이트
himart	하이마트
wine	와인
frypan	프라이팬
elevator	엘리베이터
angel	엔젤
halloween	할로윈
england	잉글랜드
land	랜드
real	리얼
reality	리얼리티
man	맨
mall	몰
auction	옥션
word	워드
promotion	프로모션
starcraft	스타크래프트
play	플레이
store	스토어
smart phone	스마트폰
phone	폰
version	버전
dog	도그
cat	캣
navigation	내비게이션
gram	그램
lg	엘지
sequence	시퀀스
preview	프리뷰
mini	미니
port	포트
import	임포트
cloud	클라우드
util	유틸
couponmoa	쿠폰모아
coupon	쿠폰
create	크리트
yes	예스
no	노
log	로그
logger	로거
engine	엔진
unity	유니티
development	디벨롭먼트
during	듀링
produce	프로듀스
producing	프로듀싱
push	푸시
pretty	프리티
oh	오
got	갓
try	트라이
feed	피드
error	에러
working	워킹
website	웹사이트
page	페이지
wise	와이즈
reprogram	리프로그램
before	비포
guy	가이
might	마이트
able	에이블
predict	프리딕트
war	워
using	유징
mellow	멜로우
custom	커스텀
blue	블루
shirts	셔츠
denim	데님
economy	이코노미
commerce	커머스
human	휴먼
part	파트
design	디자인
trust	트러스트
application	애플리케이션
public	퍼블릭
client	클라이언트
server	서버
like	라이크
find	파인드
tree	트리
girl	걸
even	이븐
what	왓
time	타임
first	퍼스트
second	세컨드
four	포
five	파이브
six	식스
nine	나인
ten	텐
file	파일
me	미
help	헬프
please	플리즈
can	캔
into	인투
program	프로그램
other	아더
act	액트
now	나우
and	앤드
must	머스트
underlying	언더라잉
under	언더
dark	다크
solve	솔브
why	와이
reason	리즌
most	모스트
history	히스토리
dart	다트
post	포스트
data	데이터
course	코스
note	노트
evernote	에버노트
todo	투두
link	링크
type	타입
bring	브링
hidden	히든
training	트레이닝
parameter	파라미터
unit	유닛
come	컴
helicopter	헬리콤터
neural	뉴럴
eminem	에미넴
dr. dre	닥터 드레
snoop dogg	스눕 독
jay z	제이지
nas	나스
jeju	제주
paul	폴
gary	게리
video	비디오
people	피플
software	소프트웨어
hardware	하드웨어
visual	비주얼
seamless	심리스
logo	로고
movie	무비
blog	블로그
shop	샵
project	프로젝트
manager	매니저
core	코어
shopping mall	쇼핑몰
collaboration	콜라보레이션
from	프롬
your	유어
desk	데스크
body	바디
center	센터
will	윌
orange	오렌지
banana	바나나
amazon	아마존
korean	코리안
group	그룹
secret	시크릿
believe	빌리브
really	리얼리
within	위드인
youth	유스
character	캐릭터
level	레벨
language	랭귀지
model	모델
cool	쿨
ted	테드
condition	컨디션
way	웨이
build	빌드
metal	메탈
that	뎃
modern	모던
energy	에너지
jeon	전
iteration	이터레이션
tensor	텐서
flow	플로우
github	깃허브
trend	트렌드
korea	코리아
color	칼라
travel	트래블
traveline	트래블라인
news	뉴스
city	씨티
ruby	루비
about	어바웃
beauty	뷰티
protecting	프로텍팅
protect	프로텍트
earth	어스
ufo	유에프오
kakao talk	카카오톡
talk	톡
this	디스
get	겟
lifesaving	라이프세이빙
these	디즈
never	네버
in	인
traffic	트래픽
high	하이
register	레지스터
user	유저
on	온
without	위드아웃
permission	퍼미션
community	커뮤니티
josh	조쉬
developer	디벨로퍼
scaling	스케일링
auto	오토
call	콜
schedule	스케쥴
instant	인스턴트
kakaoplace	카카오플레이스
hot	핫
place	플레이스
local	로컬
toronto	토론토
rail	레일
bus	버스
rain	레인
seoul	서울
rent	렌트
sports	스포츠
home	홈
start	스타트
kingdom	킹덤
lost	로스트
poppop	팝팝
web	웹
smart	스마트
service	서비스
touch	터치
english	잉글리쉬
basic	베이직
buy	바이
by	바이
how	하우
the	더
season	시즌
work	워크
today	투데이
performance	퍼포먼스
pattern	패턴
android	안드로이드
more	모어
iphone	아이폰
wikipedia	위키피디아
window	윈도우
linux	리눅스
free	프리
share	쉐어
download	다운로드
with	위드
for	포
computer	컴퓨터
notebook	노트북
network	네트워크
tech	테크
app	앱
category	카테고리
chart	차트
new	뉴
kon	콘
battery	배터리
saver	세이버
studio	스튜디오
day	데이
star	스타
game	게임
pub	펍
soft	소프트
kakao	카카오
gamevil	게임빌
planet	플래닛
market	마켓
disney	디즈니
hana	하나
card	카드
hanacard	하나카드
corporation	코퍼레이션
netmarble	넷마블
wallet	월렛
team	팀
taxi	택시
cash	캐시
social	소셜
genius	지니어스
master	마스터
clean	클린
piano	피아노
cafe	카페
afreeca	아프리카
tv	티비
who	후
stack	스택
candy	캔디
tmon	티몬
line	라인
melon	멜론
hard	하드
solution	솔루션
memory	메모리
metro	메트로
my	마이
mymetro	마이메트로
send	샌드
anywhere	애니웨어
naver	네이버
daum	다음
nate	네이트
translator	트랜슬레이터
foodie	푸디
instagram	인스타그램
facebook	페이스북
google	구글
apple	애플
photos	포토
camera	카메라
selfi	셀피
milk	밀크
music	뮤직
mini	미니
gmail	지메일
styleshare	스타일쉐어
sunrise	선라이즈
youtube	유튜브
keep	킵
soundcloud	사운드클라우드
toss	토스
stocks	스톡
seven	세븐
trello	트렐로
windfinder	윈드파인더
air busan	에어부산
jinair	진에어
uber	우버
mobile	모바일
stock	스톡
bank	뱅크
business	비지니스
calendar	캘린더
pop	팝
messenger	메신저
simple	심플
chrome	크롬
zenmate	젠메이트
cashbag	캐쉬백
plus	플러스
remote	리모트
media	미디어
converter	컨버터
player	플레이어
pro	프로
editor	에디터
photo	포토
connect	커넥트
speed	스피드
test	테스트
security	시큐리티
map	맵
band	밴드
outlook	아웃룩
flipboard	플립보드
drive	드라이브
one	원
pocket	포켓
mail	메일
email	이메일
rocket	로켓
system	시스템
update	업데이트
gallery	갤러리
health	헬스
fitness	피트니스
scan	스캔
bot	봇
scanbot	스캔봇
a	에이
b	비
c	씨
d	디
e	이
f	에프
g	지
h	에이치
i	아이
j	제이
k	케이
l	엘
m	엠
n	엔
o	오
p	피
q	큐
r	알
s	에스
t	티
u	유
v	브이
w	더블유
x	엑스
y	와이
z	지
